station,remote_cnt,booth_cnt,line_name_all,division_all,long,lat
EUCLID AVE,1,1,"A,C",IND,-73.8721060009968,40.6753769982394
EXCHANGE PLACE,1,1,1,PTH,,
FAR ROCKAWAY,1,1,A,IND,,
FLATBUSH AVE,1,3,"2,5",IRT,,
FLUSHING AVE,2,3,"G,J,M","IND,BMT",-73.9502340010257,40.7003766662215
FLUSHING AVE,2,3,"G,J,M","IND,BMT",-73.9413773483837,40.7004044029811
FORDHAM ROAD,2,3,"B,D,4","IND,IRT",,
FOREST AVE,1,1,M,BMT,-73.9030750000596,40.7044120008781
FOREST HILLS-71,1,3,"E,F,M,R",IND,,
FOREST PARKWAY,1,1,J,BMT,,
FRANKLIN AVE,2,3,"2,3,4,5,S,A,C","IRT,IND",-73.9580997367769,40.6707651534489
FRANKLIN AVE,2,3,"2,3,4,5,S,A,C","IRT,IND",-73.9568480001461,40.6813796665874
FRANKLIN ST,1,2,1,IRT,-74.0068860027711,40.7193180013021
FREEMAN ST,1,2,"2,5",IRT,-73.8917522534947,40.8299874463841
FRESH POND ROAD,1,1,M,BMT,,
FT HAMILTON PKY,3,5,"F,G,D,N","IND,BMT",,
FULTON ST,4,12,"A,C,J,Z,2,3,4,5,G","BMT,IND,IRT",-73.9753749983315,40.6871189995077
FULTON ST,4,12,"A,C,J,Z,2,3,4,5,G","BMT,IND,IRT",-74.0076230932399,40.7101621653019
FULTON ST,4,12,"A,C,J,Z,2,3,4,5,G","BMT,IND,IRT",-74.006570999702,40.7094159992587
FULTON ST,4,12,"A,C,J,Z,2,3,4,5,G","BMT,IND,IRT",-74.0079380011039,40.7100226665842
FULTON ST,4,12,"A,C,J,Z,2,3,4,5,G","BMT,IND,IRT",-74.0095089985646,40.7103679988221
GATES AVE,1,1,"J,Z",BMT,-73.9221560015075,40.6895839990139
GRAHAM AVE,1,2,L,BMT,-73.9439439986904,40.7145759983636
GRAND-30 AVE,1,1,"N,Q",BMT,,
GRAND ARMY PLAZ,1,1,"2,3",IRT,,
